,Month,DATE,MANHATTAN,NYC,Percentage
0,Jan,3178,3178,18101,17.557041047455943
1,Feb,3195,3195,15985,19.987488270253362
2,Mar,3479,3479,18471,18.834930431487194
3,Apr,3540,3540,18331,19.311548742567236
4,May,3432,3432,20052,17.115499700777978
5,Jun,2956,2956,19433,15.211238614727526
6,Jul,3055,3055,19867,15.377258770825994
7,Aug,2844,2844,19678,14.452688281329404
8,Sep,2744,2744,19492,14.077570285245228
9,Oct,2831,2831,19666,14.395403234007933
10,Nov,2838,2838,19315,14.693243593062386
11,Dec,2634,2634,19214,13.708754033517225
